Nome;Minuti.Partita;Fiel.Goal;Fiel.Goal.Provati;Percentuale.Fiel.Goal;Canestri.Segnati.3;Tiri.da.3;Percentuale.Tiri.3;Canestri.Segnati.2;Tiri.da.2;Percentuale.Tiri.2;efficienza.tiri;Tiri.Liberi.Segnati;Tiri.Liberi.Tirati;Percentuale.Tiri.Liberi;Rimbalzi.Offensivi;Rimbalzi.Difensivi;Rimbalzi.Totali;Assist.Totali;Palle.Rubate;Blocchi.a.Partita;Guadagno.a.Partita;Falli.Personali;Punti.Totali.Partita;Valutazione;Canestri.Partita;;;Punti,Totali,Partita;Tiri,Liberi,Segnati;Canestri,Segnati,3;Canestri.Segnati.2
Allen Iverson;43.7;11.1;27.8;39.8;1.3;4.5;29.1;9,8;;;;7.9;9.8;81.2;0.7;3.8;4.5;5.5;2.8;0.2;4.0;1.7;31.4;4.7;28,8;;;31,4;7,9;1,3;9,8
Shaquille O'Neal;36.1;10.6;18.3;57.9;0.0;0.0;0.0;10,65;;;;5.9;10.7;55.5;3.5;7.2;10.7;3.0;0.6;2.0;2.6;3.0;27.2;8.5;27,2;;;27,2;5,9;0;10,65
Paul Pierce;40.2;8.6;19.5;44.2;2.6;6.3;40.4;6;;;;6.3;7.8;80.9;1.0;5.9;6.9;3.2;1.9;1.0;2.9;2.9;26.1;3.8;20,9;;;26,1;6,3;2,6;6
Tracy McGrady;38.3;9.4;20.9;45.1;1.4;3.7;36.4;7,95;;;;5.5;7.3;74.8;2.0;5.9;7.8;5.3;1.6;1.0;2.5;1.8;25.6;3.9;22,8;;;25,6;5,5;1,4;7,95
Tim Duncan;40.6;9.3;18.3;50.8;0.0;0.1;10.0;9,35;;;;6.8;8.5;79.9;3.3;9.4;12.7;3.7;0.7;2.5;3.2;2.6;25.5;6.8;25,5;;;25,5;6,8;0;9,35
Kobe Bryant;38.3;9.4;20.0;46.9;0.4;1.7;25.0;8,95;;;;6.1;7.4;82.9;1.4;4.1;5.5;5.5;1.5;0.4;2.8;2.9;25.2;5.6;24,4;;;25,2;6,1;0,4;8,95
Vince Carter;39.8;9.3;21.8;42.8;2.0;5.2;38.7;7,3;;;;4.1;5.1;79.8;2.3;2.9;5.2;4.0;1.6;0.8;2.6;3.2;24.7;1.1;20,7;;;24,7;4,1;2;7,3
Chris Webber;38.4;9.9;19.9;49.5;0.1;0.4;26.3;9,75;;;;4.7;6.3;74.9;2.8;7.3;10.1;4.8;1.7;1.4;2.9;3.4;24.5;7.6;24,3;;;24,5;4,7;0,1;9,75
Dirk Nowitzki;38.0;7.9;16.6;47.7;1.8;4.6;39.7;6,1;;;;5.8;6.8;85.3;1.6;8.4;9.9;2.4;1.1;1.0;1.9;2.9;23.4;5.4;19,8;;;23,4;5,8;1,8;6,1
Michael Jordan;34.8;9.2;22.1;41.6;0.2;0.9;18.9;8,95;;;;4.4;5.6;79.0;0.8;4.8;5.7;5.2;1.4;0.4;2.7;2.0;22.9;0.3;22,5;;;22,9;4,4;0,2;8,95
Karl Malone;38.0;7.9;17.5;45.4;0.1;0.3;36.0;7,85;;;;6.4;8.0;79.7;1.8;6.8;8.6;4.3;1.9;0.7;3.3;2.9;22.4;0.6;22,2;;;22,4;6,4;0,1;7,85
Antoine Walker;42.1;8.2;20.9;39.4;2.7;8.0;34.4;5,5;;;;3.0;4.0;74.1;1.9;7.0;8.8;5.0;1.5;0.5;3.1;2.9;22.1;3.0;16,7;;;22,1;3;2,7;5,5
Gary Payton;40.2;9.0;19.2;46.7;0.9;2.9;31.4;8,05;;;;3.3;4.1;79.7;1.0;3.9;4.8;9.0;1.6;0.3;2.5;2.2;22.1;2.5;20,3;;;22,1;3,3;0,9;8,05
Ray Allen;36.6;7.7;16.6;46.2;3.3;7.7;43.4;4,4;;;;3.1;3.6;87.3;1.2;3.3;4.5;3.9;1.3;0.3;2.3;2.3;21.8;0.7;15,2;;;21,8;3,1;3,3;4,4
Cuttino Mobley;42.1;8.0;18.4;43.8;2.0;5.1;39.5;6,05;;;;3.6;4.2;85.0;0.9;3.2;4.1;2.5;1.5;0.5;2.4;2.6;21.7;-2.6;17,7;;;21,7;3,6;2;6,05
Steve Francis;41.1;7.4;17.7;41.7;1.2;3.7;32.4;6,15;;;;5.7;7.4;77.3;1.8;5.2;7.0;6.4;1.2;0.4;3.9;3.0;21.6;-0.9;19,2;;;21,6;5,7;1,2;6,15
Jamal Mashburn;39.9;7.6;18.6;40.7;1.0;2.8;36.6;6,6;;;;5.3;6.0;87.6;0.8;5.3;6.1;4.3;1.1;0.2;2.8;2.0;21.5;1.2;19,5;;;21,5;5,3;1;6,6
Jerry Stackhouse;35.3;6.9;17.4;39.7;1.1;3.9;28.7;5,8;;;;6.5;7.6;85.8;1.0;3.1;4.1;5.3;1.0;0.5;3.5;2.1;21.4;1.3;19,2;;;21,4;6,5;1,1;5,8
Shareef Abdur-Rahim;38.7;7.8;16.8;46.1;0.3;0.9;30.0;7,45;;;;5.4;6.8;80.1;2.6;6.5;9.0;3.1;1.3;1.1;3.2;2.8;21.2;-2.9;20,6;;;21,2;5,4;0,3;7,45
Peja Stojakovic;37.3;7.7;15.9;48.4;1.8;4.4;41.6;5,9;;;;4.0;4.5;87.6;1.0;4.2;5.3;2.5;1.1;0.2;2.0;1.7;21.2;5.4;17,6;;;21,2;4;1,8;5,9
Kevin Garnett;39.2;8.1;17.3;47.0;0.5;1.4;31.9;7,65;;;;4.4;5.5;80.1;3.0;9.1;12.1;5.2;1.2;1.6;2.8;2.3;21.2;4.4;20,2;;;21,2;4,4;0,5;7,65
Glenn Robinson;35.6;8.1;17.4;46.7;0.9;2.7;32.6;7,2;;;;3.6;4.3;83.7;1.1;5.1;6.2;2.5;1.5;0.6;2.6;2.6;20.7;-1.1;18,9;;;20,7;3,6;0,9;7,2
Michael Finley;39.9;8.2;17.8;46.3;1.1;3.2;33.9;7,15;;;;3.0;3.6;83.7;1.3;3.9;5.2;3.3;0.9;0.4;1.7;2.1;20.6;3.2;18,4;;;20,6;3;1,1;7,15
Jalen Rose;38.0;8.0;17.6;45.5;1.1;3.0;36.2;6,85;;;;3.4;4.0;83.9;0.5;4.0;4.5;4.3;0.9;0.5;2.4;3.0;20.4;-1.5;18,2;;;20,4;3,4;1,1;6,85
Stephon Marbury;38.9;7.6;17.2;44.2;0.9;3.0;28.6;6,7;;;;4.3;5.5;78.1;0.9;2.3;3.2;8.1;0.9;0.2;3.5;2.3;20.4;-1.2;18,6;;;20,4;4,3;0,9;6,7
Allan Houston;37.9;7.4;16.9;43.7;1.8;4.5;39.3;5,6;;;;3.8;4.4;87.0;0.5;2.8;3.3;2.5;0.7;0.1;2.2;2.4;20.4;-4.5;16,8;;;20,4;3,8;1,8;5,6
Richard Hamilton;34.9;7.5;17.2;43.5;0.3;0.7;38.1;7,15;;;;4.8;5.3;89.0;1.2;2.3;3.4;2.7;0.6;0.2;2.1;2.2;20.0;-0.4;19,4;;;20;4,8;0,3;7,15
Antawn Jamison;37.0;7.5;16.8;44.7;0.8;2.6;32.4;6,7;;;;3.9;5.4;73.4;2.6;4.2;6.8;2.0;0.9;0.5;2.0;2.3;19.7;-4.5;18,1;;;19,7;3,9;0,8;6,7
Sam Cassell;35.2;7.5;16.2;46.3;1.0;2.8;34.8;6,45;;;;3.8;4.4;86.0;0.7;3.5;4.2;6.7;1.2;0.2;2.4;2.8;19.7;1.5;17,7;;;19,7;3,8;1;6,45
Latrell Sprewell;41.1;7.1;17.5;40.4;1.8;5.0;36.0;5,25;;;;3.5;4.3;82.1;0.7;3.0;3.7;3.9;1.2;0.2;2.8;2.0;19.4;-2.9;15,8;;;19,4;3,5;1,8;5,25
Jason Terry;38.0;6.7;15.6;43.0;2.2;5.7;38.7;4,55;;;;3.6;4.4;83.5;0.5;2.9;3.5;5.7;1.8;0.2;2.3;2.0;19.3;-2.1;14,9;;;19,3;3,6;2,2;4,55
Rasheed Wallace;37.5;7.6;16.3;46.9;1.4;4.0;36.0;6,3;;;;2.5;3.5;73.4;1.7;6.4;8.2;1.9;1.3;1.3;1.7;2.7;19.3;4.6;16,5;;;19,3;2,5;1,4;6,3
Shawn Marion;38.4;8.1;17.2;46.9;0.6;1.5;39.3;7,45;;;;2.4;2.8;84.5;2.6;7.3;9.9;2.0;1.8;1.1;1.8;2.6;19.1;-0.1;17,9;;;19,1;2,4;0,6;7,45
Jermaine O'Neal;37.6;7.5;15.7;47.9;0.0;0.2;7.1;7,55;;;;3.9;5.7;68.8;2.6;7.9;10.5;1.6;0.6;2.3;2.4;3.7;19.0;1.4;19;;;19;3,9;0;7,55
Wally Szczerbiak;38.1;7.4;14.6;50.7;1.1;2.3;45.5;6,3;;;;2.8;3.3;83.1;1.5;3.3;4.8;3.1;0.8;0.3;2.2;2.3;18.7;3.4;16,5;;;18,7;2,8;1,1;6,3
Nick Van Exel;34.7;7.0;17.0;40.9;1.7;4.9;34.0;5,25;;;;2.8;3.5;80.1;0.4;3.1;3.5;6.6;0.6;0.2;2.2;1.4;18.4;-1.9;15;;;18,4;2,8;1,7;5,25
Eddie Jones;39.0;6.4;14.8;43.2;1.8;4.7;39.0;4,6;;;;3.7;4.4;83.7;0.8;3.9;4.7;3.2;1.4;1.0;1.8;3.2;18.3;0.9;14,7;;;18,3;3,7;1,8;4,6
Elton Brand;37.7;6.7;12.6;52.7;0.0;0.0;0.0;6,65;;;;4.9;6.6;74.2;5.0;6.6;11.6;2.4;1.0;2.0;2.2;3.2;18.2;0.1;18,2;;;18,2;4,9;0;6,65
Baron Davis;40.5;6.8;16.4;41.7;2.1;5.8;35.6;4,7;;;;2.4;4.1;58.0;1.1;3.1;4.3;8.5;2.1;0.6;3.0;2.9;18.1;1.8;13,9;;;18,1;2,4;2,1;4,7
Steve Nash;34.6;6.4;13.3;48.3;1.9;4.2;45.5;4,5;;;;3.2;3.6;88.7;0.6;2.5;3.1;7.7;0.6;0.0;2.8;2.0;17.9;3.8;14,1;;;17,9;3,2;1,9;4,5
Pau Gasol;36.6;6.7;13.0;51.8;0.0;0.1;20.0;6,75;;;;4.1;5.8;70.9;2.9;6.0;8.9;2.7;0.5;2.1;2.7;2.4;17.6;-3.8;17,6;;;17,6;4,1;0;6,75
Bonzi Wells;31.8;6.6;14.0;46.9;0.9;2.3;38.4;5,7;;;;2.9;3.9;74.1;1.6;4.4;6.0;2.8;1.5;0.3;2.6;2.8;17.0;2.4;15,2;;;17;2,9;0,9;5,7
Rashard Lewis;36.4;6.4;13.7;46.8;1.7;4.5;38.9;4,7;;;;2.3;2.8;81.0;2.0;5.1;7.0;1.7;1.5;0.6;1.4;2.5;16.8;4.0;13,4;;;16,8;2,3;1,7;4,7
Grant Hill;36.7;5.9;13.9;42.6;0.0;0.1;0.0;5,95;;;;4.9;5.7;86.3;2.1;6.9;8.9;4.6;0.6;0.3;2.6;2.9;16.8;0.6;16,8;;;16,8;4,9;0;5,95
Lamond Murray;32.5;6.1;13.9;43.6;1.4;3.4;42.4;4,7;;;;3.0;3.7;81.7;1.1;4.1;5.2;2.2;1.0;0.6;2.0;2.1;16.6;-1.5;13,8;;;16,6;3;1,4;4,7
Reggie Miller;36.6;5.2;11.6;45.3;2.3;5.6;40.6;2,95;;;;3.7;4.1;91.1;0.3;2.5;2.8;3.2;1.1;0.1;1.5;1.8;16.5;-0.1;11,9;;;16,5;3,7;2,3;2,95
Andre Miller;37.3;5.9;12.9;45.4;0.3;1.1;25.3;5,55;;;;4.5;5.5;81.7;1.3;3.3;4.7;10.9;1.6;0.4;3.0;2.8;16.5;-1.3;15,9;;;16,5;4,5;0,3;5,55
Alonzo Mourning;32.7;6.0;11.5;51.6;0.0;0.0;33.3;5,95;;;;3.8;5.7;65.7;2.4;6.0;8.4;1.2;0.4;2.5;2.4;3.4;15.7;0.7;15,7;;;15,7;3,8;0;5,95
Mike Miller;33.8;5.6;12.7;43.8;1.8;4.8;38.3;3,8;;;;2.2;2.9;76.2;0.8;3.6;4.3;3.1;0.7;0.4;1.7;2.3;15.2;2.7;11,6;;;15,2;2,2;1,8;3,8
Derrick Coleman;35.9;5.7;12.7;45.0;0.5;1.4;33.7;5,2;;;;3.2;3.9;81.5;2.9;5.9;8.8;1.7;0.7;0.9;2.1;2.7;15.1;1.9;14,1;;;15,1;3,2;0,5;5,2
Wesley Person;35.8;6.0;12.1;49.5;1.8;4.1;44.4;4,2;;;;1.3;1.6;79.8;0.6;3.1;3.8;2.2;1.0;0.5;0.9;1.2;15.1;-0.5;11,5;;;15,1;1,3;1,8;4,2
Kenyon Martin;34.3;6.1;13.2;46.3;0.2;0.9;22.4;5,9;;;;2.5;3.7;67.8;1.5;3.8;5.3;2.6;1.2;1.7;2.4;3.6;14.9;4.1;14,5;;;14,9;2,5;0,2;5,9
Donyell Marshall;30.2;5.9;11.4;51.9;0.2;0.7;31.0;5,7;;;;2.8;3.9;70.8;2.7;4.9;7.6;1.7;0.9;1.2;2.1;2.6;14.8;-3.7;14,4;;;14,8;2,8;0,2;5,7
Keith Van Horn;30.4;5.8;13.4;43.3;1.2;3.6;34.5;4,65;;;;1.9;2.4;80.0;1.7;5.8;7.5;2.0;0.8;0.5;1.8;2.7;14.8;2.7;12,4;;;14,8;1,9;1,2;4,65
Jason Williams;34.4;5.8;15.2;38.2;2.0;6.6;29.5;3,8;;;;1.2;1.6;79.2;0.3;2.7;3.0;8.0;1.7;0.1;3.3;1.6;14.8;-5.0;10,8;;;14,8;1,2;2;3,8
Jason Kidd;37.3;5.4;13.9;39.1;1.4;4.4;32.1;4;;;;2.5;3.0;81.4;1.6;5.7;7.3;9.9;2.1;0.2;3.5;1.7;14.7;4.2;11,9;;;14,7;2,5;1,4;4
Juwan Howard;32.5;5.7;12.4;46.0;0.0;0.0;0.0;5,7;;;;3.2;4.2;76.1;2.8;4.8;7.6;2.1;0.6;0.6;1.9;3.3;14.6;-1.5;14,6;;;14,6;3,2;0;5,7
Jeff McInnis;37.4;5.7;13.8;41.3;0.9;2.9;32.1;4,8;;;;2.3;2.7;83.6;0.6;2.1;2.6;6.2;0.8;0.1;1.8;2.5;14.6;-1.0;12,8;;;14,6;2,3;0,9;4,8
Clifford Robinson;35.7;5.7;13.4;42.5;1.4;3.8;37.8;4,3;;;;1.8;2.6;69.4;1.0;3.9;4.8;2.5;1.1;1.2;1.9;3.0;14.6;1.3;11,8;;;14,6;1,8;1,4;4,3
Antonio Davis;38.7;5.3;12.5;42.6;0.0;0.0;0.0;5,35;;;;3.8;4.6;81.8;3.3;6.3;9.6;2.0;0.7;1.1;2.1;2.9;14.5;-0.1;14,5;;;14,5;3,8;0;5,35
Shane Battier;39.7;5.3;12.3;42.9;1.3;3.5;37.3;4;;;;2.5;3.6;70.0;2.3;3.1;5.4;2.8;1.6;1.0;2.0;2.8;14.4;-3.7;11,8;;;14,4;2,5;1,3;4
Jason Richardson;32.8;5.8;13.6;42.6;1.0;3.1;33.3;4,8;;;;1.8;2.6;67.1;1.6;2.7;4.3;3.0;1.3;0.4;2.0;2.4;14.4;-3.4;12,4;;;14,4;1,8;1;4,8
Brent Barry;37.5;5.0;9.8;50.8;2.0;4.8;42.4;3;;;;2.4;2.9;84.6;0.7;4.7;5.4;5.3;1.8;0.5;2.0;2.2;14.4;2.5;10,4;;;14,4;2,4;2;3
David Wesley;37.2;5.4;13.6;40.0;1.3;3.8;33.2;4,1;;;;2.1;2.8;73.4;0.7;1.5;2.1;3.5;1.1;0.2;1.8;2.2;14.2;-1.1;11,6;;;14,2;2,1;1,3;4,1
Kenny Thomas;34.5;5.5;11.5;47.8;0.0;0.2;0.0;5,5;;;;3.1;4.7;66.4;2.2;5.0;7.2;1.9;1.2;0.9;2.0;2.7;14.1;-3.8;14,1;;;14,1;3,1;0;5,5
Vin Baker;31.1;5.7;11.8;48.5;0.0;0.1;12.5;5,75;;;;2.6;4.1;63.3;3.1;3.3;6.4;1.3;0.4;0.7;2.3;3.6;14.1;-0.5;14,1;;;14,1;2,6;0;5,75
Morris Peterson;31.6;5.3;12.2;43.8;1.3;3.7;36.4;4,05;;;;2.0;2.7;75.1;1.4;2.1;3.5;2.4;1.2;0.2;1.4;2.8;14.0;-0.2;11,4;;;14;2;1,3;4,05
Elden Campbell;28.0;5.0;10.3;48.4;0.0;0.0;0.0;4,95;;;;4.0;5.0;79.7;1.7;5.2;6.9;1.3;0.8;1.8;1.8;3.4;13.9;0.1;13,9;;;13,9;4;0;4,95
Kurt Thomas;33.8;5.6;11.4;49.4;0.0;0.1;16.7;5,65;;;;2.6;3.2;81.5;2.6;6.5;9.1;1.1;0.9;1.0;1.9;4.2;13.9;-3.5;13,9;;;13,9;2,6;0;5,65
Ron Mercer;32.4;5.9;14.8;39.7;0.3;1.2;29.0;5,6;;;;1.8;2.2;79.8;0.9;2.4;3.4;2.4;0.6;0.2;1.7;2.0;13.9;-6.7;13,3;;;13,9;1,8;0,3;5,6
Mike Bibby;33.2;5.6;12.3;45.3;0.6;1.7;37.0;5;;;;1.9;2.4;80.3;0.5;2.3;2.8;5.0;1.1;0.2;1.7;1.7;13.7;4.9;12,5;;;13,7;1,9;0,6;5
Corliss Williamson;21.9;5.3;10.3;51.0;0.0;0.1;20.0;5,25;;;;3.1;3.8;80.5;1.5;2.6;4.1;1.2;0.6;0.3;1.8;2.9;13.6;1.8;13,6;;;13,6;3,1;0;5,25
Brad Miller;29.8;4.8;9.6;49.9;0.0;0.1;42.9;4,85;;;;3.9;5.0;77.5;3.3;4.9;8.2;2.0;1.0;0.5;1.5;3.2;13.6;-2.4;13,6;;;13,6;3,9;0;4,85
Damon Stoudamire;37.2;4.9;12.2;40.2;1.4;3.9;35.3;3,5;;;;2.3;2.6;88.8;1.0;2.9;3.9;6.5;0.9;0.1;2.0;2.0;13.5;2.8;10,7;;;13,5;2,3;1,4;3,5
Raef LaFrentz;31.5;5.4;11.8;45.8;1.3;3.4;38.8;4,15;;;;1.3;1.9;69.5;2.3;5.2;7.4;1.1;0.7;2.7;1.2;3.6;13.5;-0.9;10,9;;;13,5;1,3;1,3;4,15
John Stockton;31.3;4.9;9.5;51.7;0.3;1.0;32.1;4,55;;;;3.4;3.9;85.7;0.7;2.5;3.2;8.2;1.9;0.3;2.5;2.5;13.4;2.0;12,8;;;13,4;3,4;0,3;4,55
Kerry Kittles;31.7;5.3;11.5;46.6;1.2;3.0;40.5;4,1;;;;1.6;2.1;74.4;0.8;2.5;3.4;2.6;1.6;0.4;1.3;1.3;13.4;2.8;11;;;13,4;1,6;1,2;4,1
Quentin Richardson;26.6;5.0;11.4;43.3;1.6;4.3;38.1;3,35;;;;1.8;2.3;76.5;1.4;2.7;4.1;1.6;1.0;0.3;1.3;1.8;13.3;1.0;10,1;;;13,3;1,8;1,6;3,35
Metta World Peace;29.8;4.9;11.6;42.3;1.0;3.1;31.2;3,85;;;;2.5;3.7;66.7;1.3;3.6;4.9;2.3;2.6;0.7;2.1;3.9;13.2;-0.4;11,2;;;13,2;2,5;1;3,85
Al Harrington;29.8;5.2;11.0;47.5;0.0;0.1;33.3;5,25;;;;2.6;3.3;79.9;2.2;4.1;6.3;1.2;0.9;0.5;1.8;3.8;13.1;-1.2;13,1;;;13,1;2,6;0;5,25
Lamar Odom;34.5;5.2;12.4;41.9;0.6;2.9;19.0;4,6;;;;2.1;3.2;65.6;1.1;5.0;6.1;5.9;0.8;1.2;3.3;3.1;13.1;-0.3;11,9;;;13,1;2,1;0,6;4,6
Chauncey Billups;28.7;4.2;10.0;42.3;1.5;3.8;39.4;2,75;;;;2.5;2.9;88.5;0.4;2.3;2.8;5.5;0.8;0.2;1.7;2.1;12.5;2.1;9,5;;;12,5;2,5;1,5;2,75
Desmond Mason;32.2;4.8;10.3;46.4;0.2;0.8;27.1;4,55;;;;2.7;3.2;84.8;1.2;3.5;4.7;1.4;0.9;0.4;1.4;2.3;12.4;3.2;12;;;12,4;2,7;0,2;4,55
Terrell Brandon;30.1;4.8;11.4;42.5;0.1;0.7;17.4;4,75;;;;2.6;2.6;98.8;0.5;2.4;2.9;8.3;1.6;0.2;1.3;1.5;12.4;4.3;12,2;;;12,4;2,6;0,1;4,75
Darrell Armstrong;33.3;4.2;10.1;42.0;1.7;4.9;34.9;2,55;;;;2.2;2.5;88.8;1.0;2.9;3.9;5.5;1.9;0.1;2.1;2.0;12.4;2.5;9;;;12,4;2,2;1,7;2,55
Marcus Fizer;25.9;4.9;11.2;43.8;0.1;0.5;17.1;4,75;;;;2.5;3.7;66.8;1.7;3.9;5.6;1.6;0.6;0.3;1.7;2.4;12.3;-4.0;12,1;;;12,3;2,5;0,1;4,75
Larry Hughes;28.0;4.7;11.1;42.3;0.2;1.3;19.4;4,55;;;;2.6;3.5;73.7;1.1;2.2;3.4;4.3;1.5;0.3;2.3;2.1;12.3;-3.1;11,9;;;12,3;2,6;0,2;4,55
Aaron McKie;30.6;4.6;10.2;44.9;1.1;2.7;39.8;3,45;;;;2.0;2.5;78.7;0.5;3.5;4.0;3.7;1.2;0.3;1.9;1.5;12.2;2.4;10;;;12,2;2;1,1;3,45
David Robinson;29.6;4.4;8.6;50.7;0.0;0.0;0.0;4,4;;;;3.4;5.1;68.1;2.4;5.8;8.3;1.2;1.1;1.8;1.3;2.5;12.2;5.5;12,2;;;12,2;3,4;0;4,4
Chucky Atkins;28.9;4.7;10.0;46.6;1.7;4.3;41.1;2,95;;;;1.1;1.5;69.2;0.4;1.6;2.0;3.3;0.9;0.1;1.6;2.2;12.1;0.7;8,7;;;12,1;1,1;1,7;2,95
Eric Snow;36.5;4.5;10.2;44.2;0.0;0.4;11.1;4,55;;;;3.0;3.7;80.6;0.5;3.0;3.5;6.6;1.6;0.1;2.3;2.7;12.1;3.5;12,1;;;12,1;3;0;4,55
Doug Christie;34.5;4.2;9.1;46.0;1.1;3.2;35.2;3,1;;;;2.5;3.0;85.1;0.9;3.7;4.6;4.2;2.0;0.3;2.0;2.6;12.0;6.0;9,8;;;12;2,5;1,1;3,1
Lorenzen Wright;29.1;5.2;11.3;45.9;0.0;0.0;0.0;5,2;;;;1.6;2.9;56.9;3.0;6.4;9.4;1.0;0.7;0.5;1.7;2.9;12.0;-3.4;12;;;12;1,6;0;5,2
Anfernee Hardaway;30.8;4.9;11.6;41.8;0.3;1.0;27.7;4,55;;;;2.0;2.4;81.0;1.2;3.2;4.4;4.1;1.5;0.4;2.4;2.3;12.0;-0.8;11,4;;;12;2;0,3;4,55
Rodney Rogers;24.4;4.6;9.8;47.1;1.1;3.1;37.4;3,55;;;;1.5;1.9;78.5;1.7;2.8;4.5;1.4;0.9;0.4;1.4;2.9;11.9;2.1;9,7;;;11,9;1,5;1,1;3,55
Alvin Williams;35.8;4.9;11.8;41.5;0.8;2.4;32.1;4,05;;;;1.3;1.7;73.6;0.7;2.7;3.4;5.7;1.6;0.3;1.8;2.3;11.8;-0.4;10,2;;;11,8;1,3;0,8;4,05
Matt Harpring;31.4;4.8;10.3;46.1;0.3;0.9;30.4;4,45;;;;2.0;2.7;74.3;2.5;4.6;7.1;1.3;0.9;0.1;1.6;2.5;11.8;2.2;11,2;;;11,8;2;0,3;4,45
Stromile Swift;26.5;4.3;9.0;48.0;0.0;0.0;0.0;4,3;;;;3.2;4.5;71.1;2.4;4.0;6.3;0.7;0.8;1.7;1.8;2.6;11.8;-4.5;11,8;;;11,8;3,2;0;4,3
Tim Thomas;26.9;4.3;10.2;42.0;1.3;3.9;32.6;2,95;;;;1.9;2.4;79.3;0.9;3.2;4.1;1.4;0.9;0.4;1.7;2.7;11.7;0.8;9,1;;;11,7;1,9;1,3;2,95
Troy Hudson;22.9;4.4;10.1;43.4;0.8;2.3;35.3;3,55;;;;2.2;2.5;87.6;0.4;1.4;1.8;3.1;0.7;0.1;2.0;1.5;11.7;-0.4;10,1;;;11,7;2,2;0,8;3,55
Ricky Davis;23.9;4.6;9.5;48.1;0.1;0.4;31.4;4,5;;;;2.4;3.0;79.0;0.8;2.2;3.0;2.2;0.8;0.3;1.8;1.8;11.7;-1.9;11,5;;;11,7;2,4;0,1;4,5
Steven Smith;28.7;4.0;8.9;45.5;1.5;3.2;47.2;2,5;;;;2.1;2.4;87.8;0.6;1.9;2.5;2.0;0.7;0.2;1.4;2.1;11.6;3.8;8,6;;;11,6;2,1;1,5;2,5
Dikembe Mutombo;36.3;4.0;8.0;50.1;0.0;0.0;0.0;4;;;;3.5;4.6;76.4;3.2;7.6;10.8;1.0;0.4;2.4;2.0;3.0;11.5;3.6;11,5;;;11,5;3,5;0;4
